"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\lobby_controller.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Controllers\user_controller.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Models\game.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Models\user.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\about_screen.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\game_screen.dart", "Dart", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 11, 152
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\headers.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\home_screen.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 7, 119
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\host_game_scree.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 9, 118
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\join_game_screen.dart", "Dart", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 10, 132
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\login_screen.dart", "Dart", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 8, 175
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\profile_screen.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\signup_screen.dart", "Dart", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 9, 162
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Screens\splash_screen.dart", "Dart", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 15, 152
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\constants.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\random_generator.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Utils\storage.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 11, 43
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\already_have_account.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\board.dart", "Dart", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 12, 205
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\buttons.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 13, 114
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\cards.dart", "Dart", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 15, 197
"c:\Users\Chirag Joshi\AndroidStudioProjects\tic_tac_toe\lib\Widgets\dialogs.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
